검색키워드,검색범위,사례명,사례내용,답변,담당부서,관련법령,날짜
기후 변화,내용,바닷물로 벼 재배,안녕하세요! 얼마전 울산과기대에서 바닷물을 작은 기계에 넣고 하루 두면 식수가 되는 것을 발명했다고 합니다. 이런 태양광을 이용한 것으로 농사에 쓰는 물을 만들긴 어린이 장난 같겠죠.  사막국가에서 자가 쌀 생산 욕구는 나날이 심한 이유는 더욱 불안정해져 가는 세계 정세이기 때문입니다 아예 바닷가에서 생육하는 식물과 벼와 잘 조합해서 바닷물을 머금어도 사는 벼를 만들 연구는 안되나요?  한번 참고해 보시라고 올립니다.,"귀하의 민원내용은 “바닷가에서 생육하는 식물과 벼를 조합해서 바닷물을 머금어도 사는 벼”에 관한 것으로 이해됩니다.  ○ 질의 내용 “바닷가에서 생육하는 식물과 벼를 조합해서 바닷물을 머금어도 사는 벼”에 대하여 > 세계적으로 쌀 소비량은 매년 증가하는 추세이며 2017-18년 쌀 소비량은 4억 8천만 톤이었습니다. 또한 인구증가에 따라 쌀 수요는 증가할 것이고 기후변화는 흉년이들 가능성을 높게 만들었습니다. 따라서 안정된 쌀 생산을 위해 육종가들은 병해충에 강하고, 이상기후, 재해에도 피해가 적은 품종 육성을 위하여 노력하고 있습니다. 민원인의 제안 내용을 검토해 보면 아래와 같습니다. - 바닷물을 이용해서 식수를 만드는 일은 현재 많이 사용하고 있는 기술이지만 문제는 경제성입니다. 보통 벼는 염분이 있는 논에서 재배하려면 민물을 2-3일 간격으로 대며 염분을 씻어주고 비료를 더 많이 주며 재배하는 방법을 쓰기 때문에 노동력과 물이 더 필요하고 염분농도가 0.9% 이상에서는 벼 재배가 불가능합니다.(바닷물 염농도는 약 3.5%) - 동남아지역에 재배되는 벼 중 일부 재래종은 높은 염분농도에도 재배가 되고 있으며 대표적인 것이 인도의 포카리 품종입니다. 그러나 짠물에서 벼를 재배하면 벼 잎에서 증산작용으로 잎의 소금 농도가 높아져 말라죽고, 논물에 염분이 있으면 물이 증발하면서 농도가 점점 높아지고 바닷물 보다 더 짠물이 되므로 바닷물 정도의 염분농도에서 자라는 벼를 만든다 해도 실제로는 재배할 수가 없는 상황이 됩니다. - 현재 세계적으로 염해가 있는 나라에서는 염분에 강한 벼를 꾸준히 육종하고 있습니다. 민원인께서 제안한 바닷가에서 생육하는 식물을 이용한 벼 육종은 기존의 육종방법(교배육종, 약배양 등)으로 불가능하기 때문에 이론적으로는 첨단 육종방법인 유전공학기법을 이용한 내염성 유전자를 벼에 이식하는 방법으로 새로운 벼를 만들 수 있으나 아직은 기대하는 정도의 성과는 없습니다. 2021-12-22",농촌진흥청 기획조정관 고객지원담당관,민원사무 처리에 관한 법률 /,2021-12-22
기후 변화,내용,"'생분해 플라스틱, 100% 분해될까?', '커피가 코로나 감염 위험을 줄인다는 것이 사실","2021년 12월 20일 발표한 '생분해 플라스틱, 100% 분해될까?', '커피가 코로나 감염 위험을 줄인다는 것이 사실일까?' 관련 세부내용을 알고 싶습니다.","'생분해 플라스틱, 100% 분해될까?', '커피가 코로나 감염 위험을 줄인다는 것이 사실일까?'   방송통신위원회(위원장 한상혁)와 시청자미디어재단(이사장 조한규)은 12월 20일(월) 서울시청자미디어센터에서 ?2021 청소년 팩트체크 전국대회? 성과공유회를 개최했다.  올해 처음으로 개최된 청소년 팩트체크 전국대회는 시청자미디어재단이 실시하는 ‘팩트체크 시민교육’의 일환으로 진행되었으며, 청소년들이 주제를 선정하고 검증하는 과정을 직접 체험함으로써 허위조작정보에 대한 경각심을 고취하고 팩트체크의 중요성을 일깨우기 위한 목적으로 추진되었다.  지난 4월부터 11월까지 중?고등학교 30개교를 대상으로 24시간의 팩트체크 교육을 운영한 후 청소년들이 직접 팩트체크 결과물을 제작하였으며, 총 96편의 팩트체크 활동지 및 영상 콘텐츠가 접수되어 심사를 거친 결과, 대상(방송통신위원장상) 1점, 최우수상 2점(중학교, 고등학교 각 1점), 우수상 4점(중학교, 고등학교 각 2점), 장려상 3점 등 총 10점이 선정되었다.  올해 대상은 생분해 플라스틱 제품 광고에서 쉽게 찾아 볼 수 있는 ‘100% 생분해’ 등의 문구를 검증한 목포혜인여자고등학교의 <생분해 플라스틱 100% 분해된다.”라는 문구, 진짜일까?> 출품작이 선정되었다.  최우수상으로는 경민고등학교의 <커피가 코로나 감염 위험을 줄인다는 보도 내용은 사실인가?>와 인천해원중학교의 <안경을 착용하면 코로나19 감염률이 5배 낮아지는 것이 사실일까?>에 각각 돌아갔다.  이번 대회 출품작은 최근 ESG와 탄소중립이 강조되는 사회 추세를 반영하여 기후변화와 환경을 검증한 내용이 많았으며, 청소년 범죄나 청소년 건강 등과 같이 중?고등학생의 생활과 밀접한 팩트체크 결과물도 다수 제출되었다.  이번 청소년 팩트체크 전국대회에서 수상한 수상작들은 시민참여형 팩트체크 플랫폼인 팩트체크넷(www.factchecker.or.kr)의 ‘도전 시민팩트체커’ 코너에도 게재(~12.24)하여 우수한 검증 결과물을 공유할 예정이다.  방송통신위원회와 시청자미디어재단은 올해 새로이 마련한 청소년 대상 온라인 팩트체크 교육 콘텐츠와 청소년 교육 전용 교수?학습자료를 바탕으로, 내년에는 청소년 맞춤형 팩트체크 교육을 강화할 계획이다.  한상혁 위원장은 축사에서 “이번 대회가 일상 속 팩트체크의 중요성을 깨닫고 정보 판별력을 기르는 계기가 되었기를 희망한다”며, “방송통신위원회는 앞으로도 청소년의 디지털 문해력을 증진시키고 팩트체크가 생활 속에 자리잡을 수 있도록 지원하겠다”고 밝혔다. 끝.  붙임 : 2021 청소년 팩트체크 전국대회 수상작 리스트  *자세한 내용은 방송통신위원회 홈페이지 보도자료를 참고 하시기 바람 끝.  2021-12-20",방송통신위원회 사무처 기획조정관 행정법무담당관,기타,2021-12-20
기후 변화,내용,왜 경주는 타지역에 비해 전기차 보조금은 쥐꼬리 만큼 나오는건가?,,"국민신문고 민원2AA-2112-0157793호로 접수된 민원에 대하여 아래와 같이 회신하고자 합니다. ■ 회신내역 1. 평소 시정발전과 환경보전에 관심을 가져 주셔서 감사드립니다. 2. 귀하께서 2021.12.3일자 국민신문고로 신청하신 전기자동차 보조금 지원사업 문의와 관련하여 아래와 같이 답변드립니다. 가. 2021년 올해 경주시 전기자동차 보급사업은 본공고 승용 189대, 화물 126대로 총 315대를 진행하였으며, 나. 이중 전기자동차 보급사업 지침(환경부)에 의거 최초공고 시 승용물량의 40%(76대)는 법인기관 물량으로 별도 배정하였습니다. 다. 다만, 최초 공고 6개월 이후에는 법인기관 잔여물량을 통합하여 집행하였으며, 최종 승용 175대 화물 126대를 집행 완료하였습니다. ※ 공고대수와 최종집행 대수는 차량별 지원금액이 상이하여 예산상 물량과 불일치함을 알려드립니다. 라. 또한 하반기 11월 진행된 추가공고는 승용 30대, 화물 20대를 진행하여 최종 승용 27대, 화물 20대가 선정완료 되어 현재 집행 중에 있으며, 마. 하반기 공고는 본공고 종료 후 누적된 대기차량들이 한꺼번에 접수가 몰리면서 접수 당일 90대 이상이 신청하여 사업이 조기종료 되었습니다. 3. 내년 2022년에는 보다 많은 지원자 분들이 혜택을 받을 수 있도록 전기자동차 물량확보에 최선을 다하겠으며, 향후 사업과 관련된 추가 문의사항은 경주시청 환경과 기후변화대응팀(OOO-OOO-OOOO)으로 연락주시기 바랍니다.  붙임 민원신청서 1부. 끝. 2021-12-13",경상북도 경주시 일자리경제국 환경과,환경친화적 자동차의 개발 및 보급 촉진에 관한 법률 / 제3조(환경친화적 자동차의 개발 등에 관한 기본계획),2021-12-13
기후 변화,내용,철새를 연구하는 이유가 무엇인가요?,철새를 연구하는 이유가 무엇인가요?,"ㅇ 조류는 생태계에서 상위 포식자로서, 지역의 생태계 환경을 대표할 수 있는 지표종의 역할을 합니다. ㅇ 그러나 전세계적으로 도시화, 산업화의 영향으로 습지와 숲을 포함하여 많은 동식물 서식지가 파괴되고 있으며,     이로 인해 많은 조류가 감소추세에 있습니다.     특히 여러 지역을 이동하는 철새는 기후변화, 서식지 개발 등으로 인해 멸종위기에 직면한 종들이 많습니다.  ㅇ 따라서 철새 연구를 통해 멸종위기의 철새를 보호하기 위한 국가간 노력이 필요합니다. 이를 통해 철새를 보호하는     것은 물론 철새가 살아가는 서식지를 보호하고 관리하여 함께 살아가는 다양한 동식물도 동시에 보호할 수 있습     니다.  ㅇ 우리나라는 동아시아-대양주 철새 이동경로(East Asian-Australasian Flyway) 상의 중심에 위치하므로 주요 철새의      개체군 변화와 이동경로를 파악하는 것이 철새 보호대책 수립에 있어 반드시 필요합니다.     또한 국경에 구애받지 않고 자유롭게 이동하는 철새의 보호를 위해 중국, 러시아, 호주 등 여러 국가와의 철새보호     협정을 체결하여 철새 보호를 위해 노력하고 있습니다.  2021-12-13",환경부 국립생물자원관 운영관리과,기타,2021-12-13
기후 변화,내용,"제주도내 유치원, 초등학교 ,중학교, 고등학교에 급식에서 육고기 음식에 관한 질문","안녕하세요  제주도내 유치원, 초등하교, 중학교, 고등학교의 점심시간에  급식시간에 점심 식단을 보면 육고기가 너무 지나치게 많이 자주 나옵니다  즉 하루에 한번씩 육고기가 나오는 것으로 판단이 됩니다.  닭고기, 돼지고기 등이 나오는데 이런 동물을 키우기 위해서는 지구 환경파괴가 많이  되며 그런 육고기를 먹으면 건강에 대장암도 많이 증가하고 있으며  육고기를 먹으면 닭, 돼지를 죽여야 닭고기, 돼지고기가 생기는데 닭, 돼지가 죽을 때  고통스러운 감정이 몸, 육체, 고기에 고스란히 남아 있으므로 그런 고통스러운 기운이 닭고기, 돼지고기에  담겨있어서 그런 육고기를 먹으면 사람도 그런 기운을 먹는 것이므로  적어도 일주일에 1번만 먹어도 된다고 봅니다  그리고 평생 입맛을 결정짓는데 어릴때 부터 너무 육고기에 입맛을 길들여 놓는 것은 바람직하지 않다고  판단이 됩니다  요새는 군대에서 채식주의, 비건, 등 음식선택권을 주기도 하는데 그것과 비교도 안될만큼  어릴 때 입맛은 성인이 되어서도 절대적으로 많은 영향을 끼치고 있으며  지구 기후 변화 위기에 많은 영향을 끼치는 육고기를 급식에 제공되는 것에 되는 것에 대한 깊은  고민이 필요하다고 판단이 됩니다.","1. 안녕하세요. 먼저 제주교육에 관심을 가져 주신데 깊은 감사 말씀드립니다.  2. 귀하께서 국민신문고를 통해 “도내 유치원, 초등학교, 중학교, 고등학교 급식에서 육고기 음식에 관한 질문”이라는 제목으로 질의하신 민원에 대해 다음과 같이 답변드립니다.  3. 귀하의 민원내용은 ""점심 식단에 육고기 제공 횟수가 너무 많다고 판단하여 육고기 제공에 대한 깊은 고민이 필요하다 “라는 내용으로 이해됩니다.  4. 우선 귀하께서 지구 기후 변화 위기, 동물복지, 미각 형성의 중요한 시기를 고려하고, 육고기 섭취로 건강에 대한 우려 등 다양한 측면에서 검토해 주신 부분에 대해 충분히 공감하며, 학교급식관련 사항을 검토하여 다음과 같이 답변 드립니다. 가. 학교급식은 영양관리기준(「학교급식법 시행규칙」 제5조) 등을 준수하여, 곡류 및 전분류, 채소류 및 과일류, 어육류 및 콩류, 우유 및 유제품 등 다양한 종류의 식품을 사용하도록 하고 있으며, 식단 작성은 아래의 사항을 적용하여 학교별로 작성됩니다. - 모든 영양소가 골고루 포함 될 수 있도록 3대 영양소의 섭취비율은 탄수화물:단백질:지방의 에너지 비율이 각각 55~65%:7~20%/15~30%가 되도록 구성하며, 단백질은 총공급에너지 중 단백질 에너지가 차지하는 비율이 20%을 넘지 않도록 함 - 6가지 식품군이 골고루 포함되도록 식단을 작성하며, 끼니별로 분배한 식품군별 교환단위에 맞게 식품교환표 내에서 다양한 식품을 선택하여 식단 작성 - 전통식문화의 계승·발전을 고려하여 냉동육가공·인스턴트 식품 사용을 지양하고 있으며 월1회 이상 전통음식의 날 운영 - 가급적 친환경 농산물 등 자연식품과 제철식품을 사용하고 다양한 조리방법을 활용 등 나. 학교급식은 성장기 학생들에게 제공되는 것으로써 균형 잡힌 식단을 통해 골고루 먹는 올바른 식습관 형성이 중요합니다. 학교에서는 학생들이 생태환경교육 등을 통해 가치관을 정립하여 스스로 채식을 선택하는 등 건강한 성인으로 성장할 수 있도록 교육급식에 힘쓰고 있습니다. 다. 이에 따라 우리교육청은 기후위기 대응을 위한 인식개선과 채식급식의 필요성을 인식하고 채소섭취확대 및 채식급식 활성화를 위하여 도내 모든 학교에서 월1회 이상 통곡물급식의 날과 친환경 채식의 날을 운영하고 있으며, 주2회 이상 과일제공의 날을 운영합니다. 또한 채소섭취 확대를 위한 시범학교 운영과 지속가능한 식생활 실천 학생 동아리 운영을 지원하고 있으며, 인식개선을 위하여 [기후위기 대응, 왜 채식인가] 강사지원을 하고 있습니다. 라. 우리교육청은 성장기 학생들에게 안전하고 건강한 학교급식 제공에 최선을 다하겠습니다.  5. 귀하의 요청에 납득이 될 만한 답변이 되었기를 바라며, 답변 내용에 대한 추가설명이 필요한 경우 제주도교육청 체육건강과(☎064-710-0422)로 연락 주시면 친절히 안내해 드리도록 하겠습니다. 우리 학생을 최우선으로 생각하도록 노력하겠습니다. 감사합니다. 2021-12-10",제주특별자치도교육청 교육국 체육건강과,학교급식법 시행규칙 / 제5조(학교급식의 영양관리기준 등),2021-12-10
기후 변화,내용,[보도자료] 「2021 디엠지 평화 협력 국제 토론회」개최,「2021 디엠지 평화 협력 국제 토론회」개최에 대해 문의합니다.,"「2021 디엠지 평화 협력 국제 토론회」개최 - 기후변화 시대의디엠지 평화 구축 방안 -     □ 통일부는 10월 28일(목) 오전 10시에 강원도 양구군에서 ‘기후변화 시대의 디엠지 평화 구축 방안’을 주제로 ｢2021 디엠지 평화 협력 국제 토론회｣를 개최합니다.   o 이번 행사는 정부, 지방자치단체, 민간단체, 전문가, 국제사회 등 다양한 주체들이 참여하여 기후변화 시대에 접경 지역일대에서 발생하는 새로운 남북 협력 현안과 그 방안을 발굴하고 논의할 예정입니다.   □ 개회식은 최영준 통일부 차관의 개회사를 시작으로, 최복수 강원도 행정부지사, 조인묵 강원도 양구군수의 환영사, 그리고데이비드 비즐리(David Beasley) 유엔세계식량계획(WFP) 사무총장의 기조연설(영상) 순서로 진행됩니다.   o 특히, 올해 행사에서는「2021 디엠지 양구 평화선언문」을 채택하여 디엠지에서의 평화 정착을 위해 정부와 민간의의지를 모으는 자리가 될 것이라는 점에 의미를 두고 있습니다.   보도자료.png 이미지입니다.   □ 10월 27일(수)에는 사전 행사로 ‘양구군 일대 디엠지 걷기’를 진행합니다. 약 40여 명의 토론회 참가자들이두타연, 펀치볼, 국립 디엠지 자생식물원 등의 장소들을 걸으며, 디엠지를 포함한 접경지역 내 평화의 소중함을 직접 체감할 수있도록 할 예정입니다.   * 현지 행사는 ‘코로나19’ 상황을 감안하여 50명 미만 수준에서 소규모로 진행하고, 손소독·마스크 착용 등방역 대책을 철저히 준수할 계획   □ 통일부는「디엠지 평화 협력 국제 토론회」를 통해 디엠지의 평화적 이용에 대한 국내외의 공감대를 넓히는 데 기여하고, 정부-지자체-민간-국제사회 간 협력을 굳건히 하여 디엠지를 세계적인 평화지대로 가꾸어 나가겠습니다.   * ‘코로나-19’ 확산에 따른 방역 지침을 준수하여 온·오프라인 형식으로 진행통일부 누리 소통 매체(유튜브채널: www.youtube.com/c/UNITV통일부)를통해 생중계     2021-12-07",통일부 교류협력실 남북접경협력과,,2021-12-07
기후 변화,내용,"[보도자료] 「2021 한반도국제평화포럼」 열려, 한반도 평화․경제․생명 공동체 형성 논의","「2021 한반도국제평화포럼」 열려, 한반도 평화․경제․생명 공동체 형성 논의에 대해 문의합니다.","「2021 한반도국제평화포럼」열려, 한반도 평화․경제․생명 공동체형성 논의 남북기본합의서․유엔동시가입 30주년 계기, 남북관계의 새로운 비전 모색        □ 통일부는 2021년 8월 31일(화)부터 9월 2일(목)까지 ‘남북관계 새로운 비전과 한반도 평화・경제・생명공동체’를 주제로 ｢2021 한반도국제평화포럼(KGFP : Korea Global Forum for Peace 2021)｣을 개최합니다.   o 한반도국제평화포럼은 통일부가 주최하는 다자국제회의로(2010년 창설), 국내외 한반도 및 남북관계 전문가들이 모여한반도 평화와 통일에 관한 국제사회 담론을 주도하는 공론의 장으로서 역할을 해 왔습니다.   o 올해는 ｢남북기본합의서｣ 체결과 ｢남북한 동시 유엔 가입｣ 30주년을 맞이하여 현 상황에서 남북관계를 진단해 보고, 한반도의 평화, 경제, 생명 공동체로서 남북관계의 새로운 비전을 모색해 보고자 합니다.   □ 올해도 지난해에 이어 ‘코로나19’ 확산에 따른 방역 지침을 준수하여 대면 및 원격 토론방식으로 진행되며, 전체프로그램은 유튜브로 생중계됩니다.   o 총 3일간 국내외 27개 협력 기관 및 약 300명의 연사가 참여하여 △남북관계 새로운 비전 △김정은 시대 북한의변화 △한반도 평화․경제․생명 공동체 △지속 가능한 대북 정책 등을 주제로 다양한 관점에서 토론이 진행됩니다.   ※ 협력기관: 한국개발연구원 국제정책대학원, 개성공업지구지원재단, 경남대 극동문제연구소, 국립산림과학원, 국립통일교육원, 남북교류협력지원협회, 넷제로2050기후재단, 독일 국제안보연구소(SWP), 동아시아 평화문제연구소, 동아시아연구원, 베를린자유대 한국학센터, 서울대 통일평화연구원, 숭실평화통일연구원, 스팀슨센터(38노스), 아시아재단, 영국센트럴랑카셔대 한국학센터, 유엔인권최고대표 사무소(서울), 조지워싱턴대학교 한국학센터, 통일비전시민회의, 통일시대보건의료포럼, 통일연구원, 평화공공외교협의회, 하나누리동북아연구원, 한국교통연구원, 한국농어촌공사, 한국농촌경제연구원, 한국수자원공사, 한국여성정책연구원, 한국통일협회, 한국해양수산개발원   □ 첫째 날에는 이인영 통일부장관의 개회사를 시작으로 박병석 국회의장의 축사와 안토니우 구테흐스 유엔 사무총장의 특별메시지가 있을 예정이며, 정세현 민주평화통일자문회의 수석부의장이 ‘남북기본합의서 30주년 평가와 남북관계 비전’에 대해기조연설을 할 예정입니다.   o 이어서 전직 통일부장관과 해외 원로 그룹을 초청하여 ‘한반도 평화프로세스’의 현 상황을 진단해 보는 ｢한반도현인대화｣를 개최하며, 비정부기구(NGO), 연구기관 등이 주관하여 남북관계 발전과 평화구축 해법, 그리고 통일국민협약과사회적 대화의 의미에 대해 짚어볼 예정입니다.   o 오후에는 피에트로 파롤린 교황청 국무원장이 ‘한반도 평화구축에 관한 교회의 역할’을 주제로 한반도의 평화를 기원하는메시지를 전달합니다.   □ 둘째 날에는 테워드로스 거브러이여수스 세계보건기구(WHO) 사무총장의 특별메시지(‘코로나 이후 글로벌 방역협력과동북아 방역공동체’)를 시작으로, 김정은 위원장 집권 이후 지난 10년 간 북한의 변화 과정을 평가해 보고, 지속가능 개발목표(SDGs), 인도・개발・평화 연계(HDP Nexus) 등 인도주의 개발 협력과 기후 변화 공동 대응을 위한 지혜를 모아갈 예정입니다.   □ 마지막 날에는 보건의료, 농업, 관광 및 기반 시설(인프라), 비무장지대 협력 등 한반도 평화, 경제, 생명 공동체구현을 위한 남북 간 및 국제사회의 다양한 협력을 주제로 논의를 이어갈 예정입니다.   □ 통일부는 이번 국제포럼을 통해 한반도 비핵화와 평화 구축을 위한 국제사회의 지속적인 관심과 공동의 노력을 촉구하고, 새로운 남북관계 비전 정립 및 우리의 대북 정책에 대한 국내 및 국제사회 공감대 형성을 위해 노력해 나갈 것입니다.   ※ 공식 누리집: https://www.kgfp.kr유튜브 채널: https://www.youtube.com/c/kgfpeace     2021-12-07",통일부 통일정책실 국제협력과,,2021-12-07
기후 변화,내용,"[보도자료] 최영준 차관, 성 김 대북특별대표 고위급 협의 결과","최영준 차관, 성 김 대북특별대표 고위급 협의 결과에 대해 문의합니다.","최영준 차관, 성 김 대북특별대표 고위급 협의 결과     □ 최영준 통일부 차관은 6. 22.(화) 오전, 미국 국무부 성 김 대북특별대표와 고위급 양자협의를 갖고, 한반도 비핵화와 평화 구축, 남북관계 발전에 관한 폭넓은 협의를 진행하였습니다.   o 최영준 차관은 최근 북한 및 한반도 정세에 대해 평가하고, 한미 간 긴밀한 조율을 바탕으로 북한의 조기 대화 복귀및 비핵화 협상 진전을 위해 양국이 창의적이고 유연한 접근을 해야 한다는 점을 강조하였습니다.   o 아울러 △코로나 대응과 민생 등 인도주의 협력, △이산가족 상봉, △기후변화 대응 등 향후 남북관계에 관한 우리정부의 구상을 설명하였습니다.   □ 성 김 대북특별대표는 한미 양국이 외교와 대화를 통해 한반도의 완전한 비핵화를 공동 추구해야 한다는 점을 강조하는 한편,   o 5월 한미 정상회담에서 양 정상이 합의한 바와 같이 남북 간 의미 있는 대화와 협력, 관여에 대한 미 측의 지지를재확인하고, 최근 김정은 위원장의 대화 준비 언급에 주목, 북한의 긍정적 반응을 희망한다고 언급하였습니다.   □ 양측은 남북관계와 대북정책에 관한 양 기관 간 지속적인 소통과 협력이 한반도 비핵화와 평화 구축 진전을 위해필수적이라는 데 인식을 같이 하고, 향후 다양한 채널을 통해 소통을 이어가기로 하였습니다. 끝.   2021-12-07",통일부 통일정책실 국제협력과,,2021-12-07
기후 변화,내용,온난화로 인한 지역난방공사의 냉방요금할인 기간확대 요청,,"안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 청구서에 대한 검토 결과를 다음과 같이 알려드립니다.  1. 귀하의 청구내용은 ‘지역냉방 요금할인 적용 기간’에 관한 것으로 이해됩니다.  2. 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다. 가. 우리공사에서는 열생산의 계절별 편중 완화 및 혹서기 전력수요 피크 경감을 목적으로 지역냉방요금 할인을 시행하고 있습니다. 할인 적용 기간은 월별 평균기온 및 열사용패턴 등을 종합적으로 고려하여 정한 ‘난방비수기(매년 5월 1일~9월 30일)’를 따르고 있습니다. 나. 기후 변화에 따라 장기적인 평균기온 상승이 확인될 경우 냉방요금 할인 적용 기간의 확대를 검토할 수 있으나, 일시적인 기온 등락을 근거로 할인 적용 기간을 변경하기에는 어려움이 있다는 점을 양해하여 주시기 바랍니다.   귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 고객서비스처 고객정책부 장윤영 차장(OOO-OOOO-OOOO)에게 연락주시면 안내해 드리도록 하겠습니다. 감사합니다. 2021-11-08",한국지역난방공사 고객서비스처 고객정책부,기타,2021-11-08
기후 변화,내용,전기차 10만포인트신청 어떻게 하면 되나요 저는개인택시기사입니다,,"안녕하십니까. 귀하께서 국민신문고를 통해 신청하신 민원(신청번호 OOO-OOOO-OOOOOOO)에 대한 검토 결과를 다음과 같이 알려드립니다. 귀하의 민원 내용은 개인택시의 경우 자동차 탄소포인트제 가입 여부에 관한 것으로 이해됩니다. 귀하의 질의 사항에 대해 검토한 의견은 다음과 같습니다. 가. 자동차 탄소포인트제는 운영 규정에 따라 현재 운행 중인 12인승 이하 비사업용 승용자동차, 승합자동차를 대상으로 운영 중이며 법인 또는 단체의 소유 및 사업용은 제외하고 있습니다. 이에 따라 개인 택시는 참여가 불가함을 알려드립니다. 나. 질의 주셨던 전기자동차의 경우도 친환경 자동차는 참여 대상에서 제외하고 있기 때문에 참여가 어려움을 알려드립니다. 귀하의 질문에 만족스러운 답변이 되었기를 바라며 제도에 많은 관심을 가져주셔서 감사합니다. 답변 내용에 추가 설명이 필요한 경우 한국환경공단 기후변화대응처 OOO 대리(OOO-OOO-OOOO)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 2021-10-15",한국환경공단 기후대기본부 탄소중립지원처,탄소포인트제 운영에 관한 규정 /,2021-10-15
기후 변화,내용,"방통위, 「2021 대한민국 공익광고제」 개최","2021년 10월 6일 발표한 방통위, 「2021 대한민국 공익광고제」 개최 관련 세부내용을 알고 싶습니다.","방통위, 「2021 대한민국 공익광고제」 개최   방송통신위원회(위원장 한상혁)는 한국방송광고진흥공사(사장 김기만)와 함께 10월 6일(수) ?2021 대한민국 공익광고제?를 개최하였다.  대한민국 공익광고제는 공익광고 공모전을 통해 사회문제에 대한 국민 공감대를 형성하고 실천의식을 높이기 위해 2009년에 시작되어 올해로 열세 번째를 맞았다.    이번 공익광고제는 코로나19 극복을 위해 희생하고 애써주신 국민들을 응원하고 일상 회복의 희망을 담는 의미로 “다시 찾는 일상, 함께 여는 세상”을 주제로 선정하였다.    공익광고 공모전 시상식은 코로나19 상황으로 작년에 이어 올해도 온라인으로 진행되었다. 특히 올해에는 파주 스튜디오와 아셈광장에 마련된 특설무대를 이원 생방송으로 연결해 댓글 등을 통해 온라인 시청자와 실시간으로 소통하고, 일부 수상자 및 현장의 시민들과도 의견을 공유하는 시간을 가졌다.    이번 공익광고 공모전에는 일반부?대학생부?청소년부로 나누어 TV?인쇄?UCC?이모티콘 부문에서 총 1,128편이 출품되었으며, 예심과 본심을 거쳐 총 29편의 수상작이 선정되었다.    이날 대상(대통령상)에는 최돈혁?유종현?최준혁 학생이 대학생부 UCC 부문으로 출품한 “예고편” 이 선정되었다. 대상 수상자에게는 상장과 1,000만원의 상금이 수여된다.    이 작품은 기후 변화에 따른 위기를 영화의 예고편을 보는 듯 풀어내어 시청자들에게 환경파괴로 인한 경각심을 일깨워 주는 완성도가 높은 작품이라는 평가를 받았다.    금상(방송통신위원장상)에는 ▲플라스틱 일회용품 사용의 위험을 경고한 “오늘의 일회용품 내일의 후회용품”(일반부 TV부문), ▲소방관의 노고와 희생을 표현한 “녹지 않습니다”(대학생부 TV부문), ▲바다 환경오염을 다룬 “바다 속 물감”(청소년부 TV부문), ▲전동킥보드 사용의 경각심을 표현한 “<전동킥보드 안전사고> 이 곳에 잠들다”(일반부 인쇄부문), ▲환경보호의 메시지를 담은 “하나면 충분합니다”(대학생부 인쇄부문), ▲가정폭력에 대한 관심의 필요성을 강조한 “숨통을 조이는 폭력”(청소년부 인쇄부문)등 총 6편이 선정되었고, 각각 상장과 400만원의 상금이 수여된다.    이밖에도 은상·동상·장려상 각각 6편이, 특별상 4편이 선정되었고, 부상으로 은상·특별상은 300만원, 동상은 200만원, 장려상은 100만원의 상금이 수여된다.    한상혁 위원장은 영상 축사를 통해 “공익광고가 우리 사회에 다양한 이슈에 대해 국민의 관심과 공감을 이끌어내는데 중요한 역할을 하고 있다.”며, “방송통신위원회도 국민들의 공감을 얻는 공익광고가 더 많이 확산되도록 적극 지원하겠다.”고 밝혔다.     공익광고 주요 작품은 10월부터 대한민국 공익광고제 홈페이지(https://psa.kobaco.co.kr)에서 확인할 수 있다. 역사관, 광고제작관, 글로벌관 등 총 6개의 온라인 전시관이 있으며, 공모전 수상작을 비롯한 국내외의 다양한 공익광고 작품을 만나볼 수 있다.  붙임  「2021 대한민국 공익광고제」대상 수상작.   *자세한 내용은 방송통신위원회 홈페이지 보도자료를 참고 하시기 바람 끝.   2021-10-07",방송통신위원회 사무처 기획조정관 행정법무담당관,기타,2021-10-07
